k,n,d,extra,pass
4,2048,3,4,0
4,256,2,2,0
4,2048,2,2,0
4,512,3,2,0
2,4096,3,2,0
2,2048,2,2,0
4,1024,3,1,1
3,128,2,1,1
2,2048,3,4,0
4,8192,3,2,0
2,128,3,4,0
4,64,1,2,0
4,64,3,1,1
4,512,1,1,1
3,512,2,4,0
4,2048,1,4,0
3,4096,3,1,1
4,64,3,4,0
4,1024,1,4,0
2,256,3,1,1
4,8192,3,4,0
4,8192,1,4,0
3,2048,3,4,0
4,1024,2,1,1
4,256,1,1,1
3,128,1,2,0
4,1024,1,4,0
2,4096,2,4,0
4,64,2,2,0
4,256,1,4,0
3,2048,2,1,1
2,2048,3,4,0
4,1024,3,1,1
2,256,2,2,0
4,4096,3,2,0
2,512,3,2,0
3,512,3,2,0
2,8192,3,4,0
4,2048,1,1,1
4,512,3,2,0
3,2048,2,2,0
2,1024,2,4,0
3,4096,1,4,0
3,512,2,4,0
2,8192,3,1,1
3,128,2,2,0
4,4096,1,1,1
4,4096,1,4,0
3,128,3,1,1
3,64,2,4,0
2,2048,3,2,0
3,128,3,4,0
2,64,3,4,0
3,1024,1,1,1
2,8192,1,4,0
4,8192,2,4,0
4,64,1,1,1
2,512,1,4,0
2,8192,2,4,0
3,1024,2,1,1
4,4096,2,4,0
2,256,1,4,0
2,1024,3,4,0
2,256,3,1,1
2,128,1,4,0
4,4096,3,4,0
2,64,2,1,1
4,4096,2,4,0
3,8192,3,1,1
2,128,1,4,0
4,256,2,2,0
4,4096,1,1,1
4,512,1,4,0
4,128,3,2,0
3,1024,1,4,0
2,4096,2,2,0
3,64,3,2,0
2,64,1,1,1
3,4096,3,2,0
3,8192,1,1,1
3,256,1,1,1
3,512,1,4,0
4,256,2,1,1
4,128,1,4,0
2,4096,1,2,0
4,1024,1,4,0
4,2048,2,1,1
4,8192,2,2,0
2,2048,3,4,0
3,512,1,4,0
2,64,2,4,0
4,4096,1,2,0
2,64,3,4,0
3,8192,1,2,0
4,8192,3,4,0
2,128,2,4,0
