k,d,extra,n,trial,pass_det,pass_prob
2,1,1,64,0,0,0
2,1,1,64,1,0,0
2,1,1,64,2,0,0
2,1,1,64,3,0,0
2,1,1,64,4,0,0
2,1,1,64,5,0,0
2,1,1,64,6,0,0
2,1,1,64,7,0,0
2,1,1,64,8,0,0
2,1,1,64,9,0,0
2,1,1,64,10,0,0
2,1,1,64,11,0,0
2,1,1,64,12,0,0
2,1,1,64,13,0,0
2,1,1,64,14,0,0
2,1,1,64,15,0,0
2,1,1,64,16,0,0
2,1,1,64,17,0,0
2,1,1,64,18,0,0
2,1,1,64,19,0,0
2,1,1,64,20,0,0
2,1,1,64,21,0,0
2,1,1,64,22,0,0
2,1,1,64,23,0,0
2,1,1,64,24,0,0
2,1,1,64,25,0,0
2,1,1,64,26,0,0
2,1,1,64,27,0,0
2,1,1,64,28,0,0
2,1,1,64,29,0,0
2,1,1,64,30,0,0
2,1,1,64,31,0,0
2,1,1,64,32,0,0
2,1,1,64,33,0,0
2,1,1,64,34,0,0
2,1,1,64,35,0,0
2,1,1,64,36,0,0
2,1,1,64,37,0,0
2,1,1,64,38,0,0
2,1,1,64,39,0,0
2,1,1,64,40,0,0
2,1,1,64,41,0,0
2,1,1,64,42,0,0
2,1,1,64,43,0,0
2,1,1,64,44,0,0
2,1,1,64,45,0,0
2,1,1,64,46,0,0
2,1,1,64,47,0,0
2,1,1,64,48,0,0
2,1,1,64,49,0,0
2,1,1,64,50,0,0
2,1,1,64,51,0,0
2,1,1,64,52,0,0
2,1,1,64,53,0,0
2,1,1,64,54,0,0
2,1,1,64,55,0,0
2,1,1,64,56,0,0
2,1,1,64,57,0,0
2,1,1,64,58,0,0
2,1,1,64,59,0,0
2,1,1,64,60,0,0
2,1,1,64,61,0,0
2,1,1,64,62,0,0
2,1,1,64,63,0,0
2,1,1,64,64,0,0
2,1,1,64,65,0,0
2,1,1,64,66,0,0
2,1,1,64,67,0,0
2,1,1,64,68,0,0
2,1,1,64,69,0,0
2,1,1,64,70,0,0
2,1,1,64,71,0,0
2,1,1,64,72,0,0
2,1,1,64,73,0,0
2,1,1,64,74,0,0
2,1,1,64,75,0,0
2,1,1,64,76,0,0
2,1,1,64,77,0,0
2,1,1,64,78,0,0
2,1,1,64,79,0,0
2,1,1,64,80,0,0
2,1,1,64,81,0,0
2,1,1,64,82,0,0
2,1,1,64,83,0,0
2,1,1,64,84,0,0
2,1,1,64,85,0,0
2,1,1,64,86,0,0
2,1,1,64,87,0,0
2,1,1,64,88,0,0
2,1,1,64,89,0,0
2,1,1,64,90,0,0
2,1,1,64,91,0,0
2,1,1,64,92,0,0
2,1,1,64,93,0,0
2,1,1,64,94,0,0
2,1,1,64,95,0,0
2,1,1,64,96,0,0
2,1,1,64,97,0,0
2,1,1,64,98,0,0
2,1,1,64,99,0,0
2,1,1,64,100,0,0
2,1,1,64,101,0,0
2,1,1,64,102,0,0
2,1,1,64,103,0,0
2,1,1,64,104,0,0
2,1,1,64,105,0,0
2,1,1,64,106,0,0
2,1,1,64,107,0,0
2,1,1,64,108,0,0
2,1,1,64,109,0,0
